timestamp_ms,node_addr,role,session_id,file,size_bytes,hops,exits,elapsed_ms,progress_pct,sent_bytes,tx_Bps,acked_frags,ack_fps,inflight,max_inflight,mesh_retx,oow_queued,oow_sent,cong,bp,mesh_ms,cloud_wait_ms,e2e_Bps,mesh_Bps,result
63562,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,43068,47,0,0,343,15,16,16,0,0,0,0,0,0,0,0,0,periodic
64658,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,44164,48,0,0,353,9,16,16,0,0,0,0,0,0,0,0,0,periodic
66184,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,45690,48,0,0,355,1,16,16,0,0,0,0,0,0,0,0,0,periodic
67795,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,47301,50,0,0,369,8,10,16,0,0,0,0,0,0,0,0,0,periodic
68813,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,48319,53,0,0,387,17,16,16,0,0,0,0,0,0,0,0,0,periodic
69831,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,49337,55,0,0,406,18,16,16,0,0,0,0,0,0,0,0,0,periodic
70841,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,50347,57,0,0,422,15,16,16,0,0,0,0,0,0,0,0,0,periodic
71857,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,51363,59,0,0,436,13,16,16,0,0,0,0,0,0,0,0,0,periodic
72872,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,52378,59,0,0,436,0,16,16,0,0,0,0,0,0,0,0,0,periodic
73891,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,53397,61,0,0,446,9,16,16,0,0,0,0,0,0,0,0,0,periodic
74908,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,54414,62,0,0,459,12,16,16,0,0,0,0,0,0,0,0,0,periodic
75934,0x7E40,local_exit,17694,demo-large.jpg,1061002,0,0,55440,66,0,0,483,23,16,16,0,0,0,0,0,0,0,0,0,periodic
