FLP FEC Layout for: demo.txt
========================================================================
File size:      291816 bytes
CRC-32:         0xD462B47D (3563238525)
Fragment size:  1456 bytes
Data fragments: 201
FEC group size: 7 data + 1 parity
Full groups:    28
Trailing frags: 5 (no parity)
Total seqs:     229
========================================================================

  seq     type  group  idx  data_idx      offset  length       crc32  first_8_hex
   83     DATA     10    3        73      106288    1456  0x9832A81C  7468652064697373
   84     DATA     10    4        74      107744    1456  0x4271BA16  74792e0a0a546865
   85     DATA     10    5        75      109200    1456  0x92ED2F8B  6520696e76656e74
   86     DATA     10    6        76      110656    1456  0x99A118B1  7765207374617265
   87   PARITY     10    7         -           -    1456  0x1974EF9A  68796148045b736b
   88     DATA     11    0        77      112112    1456  0xE0449FCA  616c6c2c2063796c
   89     DATA     11    1        78      113568    1456  0xC8E9DABF  686520686973746f
   90     DATA     11    2        79      115024    1456  0x2D2792D1  726e65612c206973
   91     DATA     11    3        80      116480    1456  0xFE1C47E7  74726f6e6f6d7920
   92     DATA     11    4        81      117936    1456  0xB1CD666A  732c20616e642063
   93     DATA     11    5        82      119392    1456  0x32745DED  72616e67656d656e
   94     DATA     11    6        83      120848    1456  0x6C9F90A7  65646963616c2076
   95   PARITY     11    7         -           -    1456  0x14B03B63  6b3c612e6038782b
   96     DATA     12    0        84      122304    1456  0x5CBDA7F8  70726f6d6f74696e
   97     DATA     12    1        85      123760    1456  0x93117784  20616c6c6f77696e
   98     DATA     12    2        86      125216    1456  0xAA59950D  20706572736f6e27
   99     DATA     12    3        87      126672    1456  0xFABF9D58  616e642065787472
  100     DATA     12    4        88      128128    1456  0x1E922DC6  6465732061207374
  101     DATA     12    5        89      129584    1456  0xE057B37D  656d61696e207468
  102     DATA     12    6        90      131040    1456  0x37F64A15  6874207261797320
  103   PARITY     12    7         -           -    1456  0x56790C87  78713068786d6e69
  104     DATA     13    0        91      132496    1456  0xC4521FBD  206d617465726961
  105     DATA     13    1        92      133952    1456  0x3812F8A1  6d6174657269616c
  106     DATA     13    2        93      135408    1456  0x5A7216F4  6620676c61737365
  107     DATA     13    3        94      136864    1456  0x6582EEEC  6e65206d756c7469
  108     DATA     13    4        95      138320    1456  0x6AD34E5A  732c207768696368
  109     DATA     13    5        96      139776    1456  0x0A4FDE8C  207075726520676c
  110     DATA     13    6        97      141232    1456  0x308C3C3B  6720766172696574
  111   PARITY     13    7         -           -    1456  0x93A0B3E9  713571747c246e71
  112     DATA     14    0        98      142688    1456  0xB363EA77  64616d6167652073
  113     DATA     14    1        99      144144    1456  0xACD5BF1D  20616e6420666f72
  114     DATA     14    2       100      145600    1456  0x23CBF900  732062656e64696e
  115     DATA     14    3       101      147056    1456  0xFFB68EEF  616e676564207468
  116     DATA     14    4       102      148512    1456  0x622DA6C7  2e20467572746865
  117     DATA     14    5       103      149968    1456  0xB162B791  7373206973206465
